source_id,source_time,demand_index,region_id,event_type,priority,usefulness,stale_after,policy_name,policy_code,decision,decision_reason
S000,0,0,A,1,0.750,0.720,5,usefulness_threshold,U,SEND,usefulness 0.720 >= threshold 0.500
S001,1,1,B,0,0.200,0.180,5,usefulness_threshold,U,SKIP,usefulness 0.180 < threshold 0.500
S002,2,2,C,1,0.810,0.780,5,usefulness_threshold,U,SEND,usefulness 0.780 >= threshold 0.500
S003,3,3,D,1,0.240,0.220,5,usefulness_threshold,U,SKIP,usefulness 0.220 < threshold 0.500
S004,4,4,E,0,0.870,0.840,5,usefulness_threshold,U,SEND,usefulness 0.840 >= threshold 0.500
S005,5,5,F,1,0.280,0.260,5,usefulness_threshold,U,SKIP,usefulness 0.260 < threshold 0.500
S006,6,6,G,1,0.930,0.900,5,usefulness_threshold,U,SEND,usefulness 0.900 >= threshold 0.500
S007,7,7,H,0,0.320,0.300,5,usefulness_threshold,U,SKIP,usefulness 0.300 < threshold 0.500
S008,8,8,A,1,0.750,0.720,5,usefulness_threshold,U,SEND,usefulness 0.720 >= threshold 0.500
S009,9,9,B,1,0.200,0.180,5,usefulness_threshold,U,SKIP,usefulness 0.180 < threshold 0.500
S010,10,10,C,0,0.810,0.780,5,usefulness_threshold,U,SEND,usefulness 0.780 >= threshold 0.500
S011,11,11,D,1,0.240,0.220,5,usefulness_threshold,U,SKIP,usefulness 0.220 < threshold 0.500
S012,12,12,E,1,0.870,0.840,5,usefulness_threshold,U,SEND,usefulness 0.840 >= threshold 0.500
S013,13,13,F,0,0.280,0.260,5,usefulness_threshold,U,SKIP,usefulness 0.260 < threshold 0.500
S014,14,14,G,1,0.930,0.900,5,usefulness_threshold,U,SEND,usefulness 0.900 >= threshold 0.500
S015,15,15,H,1,0.320,0.300,5,usefulness_threshold,U,SKIP,usefulness 0.300 < threshold 0.500
S016,16,16,A,0,0.750,0.720,5,usefulness_threshold,U,SEND,usefulness 0.720 >= threshold 0.500
S017,17,17,B,1,0.200,0.180,5,usefulness_threshold,U,SKIP,usefulness 0.180 < threshold 0.500
S018,18,18,C,1,0.810,0.780,5,usefulness_threshold,U,SEND,usefulness 0.780 >= threshold 0.500
S019,19,19,D,0,0.240,0.220,5,usefulness_threshold,U,SKIP,usefulness 0.220 < threshold 0.500
S020,20,20,E,1,0.870,0.840,5,usefulness_threshold,U,SEND,usefulness 0.840 >= threshold 0.500
S021,21,21,F,1,0.280,0.260,5,usefulness_threshold,U,SKIP,usefulness 0.260 < threshold 0.500
S022,22,22,G,0,0.930,0.900,5,usefulness_threshold,U,SEND,usefulness 0.900 >= threshold 0.500
S023,23,23,H,1,0.320,0.300,5,usefulness_threshold,U,SKIP,usefulness 0.300 < threshold 0.500
S024,24,24,A,1,0.750,0.720,5,usefulness_threshold,U,SEND,usefulness 0.720 >= threshold 0.500
S025,25,25,B,0,0.200,0.180,5,usefulness_threshold,U,SKIP,usefulness 0.180 < threshold 0.500
S026,26,26,C,1,0.810,0.780,5,usefulness_threshold,U,SEND,usefulness 0.780 >= threshold 0.500
S027,27,27,D,1,0.240,0.220,5,usefulness_threshold,U,SKIP,usefulness 0.220 < threshold 0.500
S028,28,28,E,0,0.870,0.840,5,usefulness_threshold,U,SEND,usefulness 0.840 >= threshold 0.500
S029,29,29,F,1,0.280,0.260,5,usefulness_threshold,U,SKIP,usefulness 0.260 < threshold 0.500
S030,30,30,G,1,0.930,0.900,5,usefulness_threshold,U,SEND,usefulness 0.900 >= threshold 0.500
S031,31,31,H,0,0.320,0.300,5,usefulness_threshold,U,SKIP,usefulness 0.300 < threshold 0.500
S032,32,32,A,1,0.750,0.720,5,usefulness_threshold,U,SEND,usefulness 0.720 >= threshold 0.500
S033,33,33,B,1,0.200,0.180,5,usefulness_threshold,U,SKIP,usefulness 0.180 < threshold 0.500
S034,34,34,C,0,0.810,0.780,5,usefulness_threshold,U,SEND,usefulness 0.780 >= threshold 0.500
S035,35,35,D,1,0.240,0.220,5,usefulness_threshold,U,SKIP,usefulness 0.220 < threshold 0.500
S036,36,36,E,1,0.870,0.840,5,usefulness_threshold,U,SEND,usefulness 0.840 >= threshold 0.500
S037,37,37,F,0,0.280,0.260,5,usefulness_threshold,U,SKIP,usefulness 0.260 < threshold 0.500
S038,38,38,G,1,0.930,0.900,5,usefulness_threshold,U,SEND,usefulness 0.900 >= threshold 0.500
S039,39,39,H,1,0.320,0.300,5,usefulness_threshold,U,SKIP,usefulness 0.300 < threshold 0.500
S040,40,40,A,0,0.750,0.720,5,usefulness_threshold,U,SEND,usefulness 0.720 >= threshold 0.500
S041,41,41,B,1,0.200,0.180,5,usefulness_threshold,U,SKIP,usefulness 0.180 < threshold 0.500
S042,42,42,C,1,0.810,0.780,5,usefulness_threshold,U,SEND,usefulness 0.780 >= threshold 0.500
S043,43,43,D,0,0.240,0.220,5,usefulness_threshold,U,SKIP,usefulness 0.220 < threshold 0.500
S044,44,44,E,1,0.870,0.840,5,usefulness_threshold,U,SEND,usefulness 0.840 >= threshold 0.500
S045,45,45,F,1,0.280,0.260,5,usefulness_threshold,U,SKIP,usefulness 0.260 < threshold 0.500
S046,46,46,G,0,0.930,0.900,5,usefulness_threshold,U,SEND,usefulness 0.900 >= threshold 0.500
S047,47,47,H,1,0.320,0.300,5,usefulness_threshold,U,SKIP,usefulness 0.300 < threshold 0.500
S048,48,48,A,1,0.750,0.720,5,usefulness_threshold,U,SEND,usefulness 0.720 >= threshold 0.500
S049,49,49,B,0,0.200,0.180,5,usefulness_threshold,U,SKIP,usefulness 0.180 < threshold 0.500
S050,50,50,C,1,0.810,0.780,5,usefulness_threshold,U,SEND,usefulness 0.780 >= threshold 0.500
S051,51,51,D,1,0.240,0.220,5,usefulness_threshold,U,SKIP,usefulness 0.220 < threshold 0.500
S052,52,52,E,0,0.870,0.840,5,usefulness_threshold,U,SEND,usefulness 0.840 >= threshold 0.500
S053,53,53,F,1,0.280,0.260,5,usefulness_threshold,U,SKIP,usefulness 0.260 < threshold 0.500
S054,54,54,G,1,0.930,0.900,5,usefulness_threshold,U,SEND,usefulness 0.900 >= threshold 0.500
S055,55,55,H,0,0.320,0.300,5,usefulness_threshold,U,SKIP,usefulness 0.300 < threshold 0.500
S056,56,56,A,1,0.750,0.720,5,usefulness_threshold,U,SEND,usefulness 0.720 >= threshold 0.500
S057,57,57,B,1,0.200,0.180,5,usefulness_threshold,U,SKIP,usefulness 0.180 < threshold 0.500
S058,58,58,C,0,0.810,0.780,5,usefulness_threshold,U,SEND,usefulness 0.780 >= threshold 0.500
S059,59,59,D,1,0.240,0.220,5,usefulness_threshold,U,SKIP,usefulness 0.220 < threshold 0.500
